customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2024-01-15,Paid,2025-01-14,Basic,Monthly,2025-10-24,Too expensive,12.99,1263,98,1,Keshav,India,Maharashtra,Male,1982-04-12,2026-02-11,Y,85.0,1
0003-MKNFE,2024-01-27,Paid,2025-01-26,Standard,Monthly,,,12.99,761,26,0,Raghav,India,Karnataka,Male,1995-11-23,2026-06-20,N,55.0,1
0004-TLHLJ,2023-06-25,Paid,2024-06-24,Premium,Annual,,,29.99,2702,21,0,Lalita,India,Delhi,Female,1978-02-15,2026-06-06,N,72.0,1
0011-IGKFF,2023-12-06,Organic,2024-12-05,Standard,Monthly,,,14.99,1269,12,0,Mohan,India,Nagaland,Male,2001-08-30,2025-11-01,N,19.0,1
0013-EXCHZ,2022-07-11,Organic,2023-07-11,Standard,Annual,,,14.99,1404,69,0,Mira,India,Delhi,Female,1990-05-05,2023-09-05,N,35.0,1
0013-MHZWF,2021-06-29,Organic,2022-06-29,Basic,Monthly,,,9.99,230,47,0,Durga,India,Delhi,Female,1988-12-10,,,,0
0013-SMEOE,2025-02-21,Organic,2026-02-21,Standard,Annual,,,12.99,793,30,0,Mina,India,Meghalaya,Female,1976-09-21,,,,0
0014-BMAQU,2023-01-15,Organic,2024-01-15,Premium,Annual,,,29.99,2938,46,0,Madan,India,Rajasthan,Male,1999-03-14,,,,0
0015-UOCOJ,2025-01-03,Paid,2026-01-03,Basic,Monthly,,,8.99,223,21,0,Maya,India,Jharkhand,Female,1985-07-07,2024-11-09,N,95.0,1
0016-QLJIS,2023-01-30,Organic,2024-01-30,Standard,Annual,,,14.99,1149,30,0,Ankit,India,Jharkhand,Male,1993-10-29,2024-06-15,N,4.0,1
0017-DINOC,2022-02-09,Paid,2023-02-09,Premium,Annual,,,24.99,3443,41,0,Arjun,India,Maharashtra,Male,1997-01-22,2024-08-12,N,62.0,1
0017-IUDMW,2024-05-25,Referral,2025-05-25,Basic,Annual,2025-05-02,No longer required,9.99,555,79,1,Rangadevi,India,Karnataka,Female,1981-06-18,2024-10-24,Y,64.0,1
0018-NYROU,2024-06-13,Organic,2025-06-13,Basic,Monthly,2024-12-13,Too expensive,15.99,1517,90,1,Chitra,India,Telangana,Female,2004-12-01,2026-02-22,Y,33.0,1
0019-EFAEP,2021-09-11,Paid,2022-09-11,Premium,Annual,2023-08-12,Lack of features,22.99,2455,87,1,Raju,India,Meghalaya,Female,1992-04-25,,,,0
0019-GFNTW,2025-04-02,Referral,2026-04-02,Standard,Annual,,,12.99,934,44,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,2024-11-20,N,92.0,1
0020-INWCK,2024-05-25,Organic,2025-05-25,Basic,Monthly,,,9.99,311,34,0,Parvati,India,Delhi,Female,1986-02-28,2026-06-14,N,89.0,1
0020-JDNXP,2024-09-10,Organic,2025-09-10,Premium,Annual,,,22.99,3879,65,0,Rikim,India,Meghalaya,Female,1994-08-19,2025-01-18,N,47.0,1
0021-IKXGC,2021-02-02,Referral,2022-02-02,Standard,Annual,,,13.99,1465,68,0,Vishakha,India,Rajasthan,Female,2000-09-02,2026-01-22,N,52.0,1
0022-TCJCI,2022-12-25,Organic,2023-12-25,Premium,Monthly,,,24.99,3801,40,0,Raghvendra,India,Telangana,Male,1983-12-30,2024-09-18,N,29.0,1
